# decaysolver — bibliothèque de nucléides
# source: ICRP Publication 107, Nuclear Decay Data for Dosimetric Calculations (2008),
#         Copyright (c) 2008 A. Endo and K.F. Eckerman ; licence : data/LICENSE.ICRP-07
# extraction: paquet radioactivedecay 0.6.1, jeu 'icrp107_ame2020_nubase2020'
# script: data/scripts/extract_icrp107.py ; date UTC: 2026-09-05
# contenu: bibliothèque complète, 1512 nucléides du jeu ICRP-107 redistribué
#          (--full)
# demi-vies: valeur et unité d'origine ICRP-107 (s, m, h, d, y) ; aucune conversion ici.
#            decaysolver convertit avec 1 y = 365,25 j (année julienne) ;
#            radioactivedecay utilise 365,2422 j : écart relatif 2e-5, à garder en tête
#            lors de l'évaluation croisée.
# incertitudes: ICRP-107 n'en fournit pas ; voir data/PROVENANCE.md.
# fission spontanée (SF): voie conservée avec fille vide, produits de fission non suivis.
# voies rétablies (absentes du jeu radioactivedecay, voir le script) : At-219 β- vers Rn-219, At-217 β- vers Rn-217
# écarts |somme des rapports - 1| > 1e-5, dus aux arrondis indépendants d'ICRP-107 :
#     Am-244m: -4.0e-04
#     Np-236: -4.0e-04
#     Tb-151: +9.5e-05
#     Dy-153: +9.4e-05
#     Ac-226: +6.0e-05
#     Fr-223: +6.0e-05
#     Es-255: +4.5e-05
#     Pu-237: +4.2e-05
#     U-231: +4.0e-05
#     Pa-230: +3.2e-05
#     Ag-115: -3.0e-05
#     Au-187: +3.0e-05
#     Pa-232: +3.0e-05
#     Hf-182m: -2.0e-05
#     Pt-184: +1.7e-05
#     Bk-249: +1.5e-05
#     Ho-154m: +1.0e-05
#     Np-233: +1.0e-05
# voies non répertoriées (déficit de somme > 5e-4 dans le jeu redistribué, fille
#   inconnue, noyaux sortant du système) : 
#     U-228: 2.5e-02
#     Es-254m: 1.6e-02
#     Es-250: 1.5e-02
#     Ac-223: 1.0e-02
#     Cm-240: 3.0e-03
#     Po-212m: 7.0e-04
#     Po-205: 6.0e-04
# une ligne par voie de décroissance ; les stables ont une seule ligne 'stable'.
nuclide;half_life_value;half_life_unit;mode;daughter;branching_fraction
Nb-91m;60.86;d;IT;Nb-91;0.966
Nb-91m;60.86;d;beta+/EC;Zr-91;0.034
Nb-92;34700000;y;beta+/EC;Zr-92;1
Nb-92m;10.15;d;beta+/EC;Zr-92;1
Nb-93;stable;;stable;;
Nb-93m;16.13;y;IT;Nb-93;1
Nb-94;20300;y;beta-;Mo-94;1
Nb-94m;6.263;m;IT;Nb-94;0.995
Nb-94m;6.263;m;beta-;Mo-94;0.005
Nb-95;34.991;d;beta-;Mo-95;1
Nb-95m;3.61;d;IT;Nb-95;0.944
Nb-95m;3.61;d;beta-;Mo-95;0.056
Nb-96;23.35;h;beta-;Mo-96;1
Nb-97;72.1;m;beta-;Mo-97;1
Nb-98m;51.3;m;beta-;Mo-98;1
Nb-99;15;s;beta-;Mo-99;1
Nb-99m;2.6;m;beta-;Mo-99;0.98
Nb-99m;2.6;m;IT;Nb-99;0.02
Nd-134;8.5;m;beta+/EC;Pr-134m;1
Nd-135;12.4;m;beta+/EC;Pr-135;1
Nd-136;50.65;m;beta+/EC;Pr-136;1
Nd-137;38.5;m;beta+/EC;Pr-137;1
Nd-138;5.04;h;beta+/EC;Pr-138;1
Nd-139;29.7;m;beta+/EC;Pr-139;1
Nd-139m;5.5;h;beta+/EC;Pr-139;0.882
Nd-139m;5.5;h;IT;Nd-139;0.118
Nd-140;3.37;d;beta+/EC;Pr-140;1
Nd-141;2.49;h;beta+/EC;Pr-141;1
Nd-141m;62;s;IT;Nd-141;0.99968
Nd-141m;62;s;beta+/EC;Pr-141;0.00032
Nd-142;stable;;stable;;
Nd-143;stable;;stable;;
Nd-144;2.29e+15;y;alpha;Ce-140;1
Nd-145;stable;;stable;;
Nd-146;stable;;stable;;
Nd-147;10.98;d;beta-;Pm-147;1
Nd-148;stable;;stable;;
Nd-149;1.728;h;beta-;Pm-149;1
Nd-151;12.44;m;beta-;Pm-151;1
Nd-152;11.4;m;beta-;Pm-152;1
Ne-19;17.22;s;beta+/EC;F-19;1
Ne-20;stable;;stable;;
Ne-21;stable;;stable;;
Ne-22;stable;;stable;;
Ne-24;3.38;m;beta-;Na-24;1
Ni-56;6.075;d;beta+/EC;Co-56;1
Ni-57;35.6;h;beta+/EC;Co-57;1
Ni-58;stable;;stable;;
Ni-59;101000;y;beta+/EC;Co-59;1
Ni-60;stable;;stable;;
Ni-61;stable;;stable;;
Ni-62;stable;;stable;;
Ni-63;100.1;y;beta-;Cu-63;1
Ni-64;stable;;stable;;
Ni-65;2.51719;h;beta-;Cu-65;1
Ni-66;54.6;h;beta-;Cu-66;1
Np-232;14.7;m;beta+/EC;U-232;1
Np-233;36.2;m;beta+/EC;U-233;1
Np-233;36.2;m;alpha;Pa-229;1e-05
Np-234;4.4;d;beta+/EC;U-234;1
Np-235;396.1;d;beta+/EC;U-235;0.99598
Np-235;396.1;d;beta+/EC;U-235m;0.0039933
Np-235;396.1;d;alpha;Pa-231;2.6e-05
Np-236;154000;y;beta+/EC;U-236;0.873
Np-236;154000;y;beta-;Pu-236;0.125
Np-236;154000;y;alpha;Pa-232;0.0016
Np-236m;22.5;h;beta+/EC;U-236;0.52
Np-236m;22.5;h;beta-;Pu-236;0.48
Np-237;2144000;y;alpha;Pa-233;1
Np-238;2.117;d;beta-;Pu-238;1
Np-239;2.3565;d;beta-;Pu-239;1
Np-240;61.9;m;beta-;Pu-240;1
Np-240m;7.22;m;beta-;Pu-240;0.9989
Np-240m;7.22;m;IT;Np-240;0.0011
Np-241;13.9;m;beta-;Pu-241;1
Np-242;2.2;m;beta-;Pu-242;1
Np-242m;5.5;m;beta-;Pu-242;1
O-14;70.606;s;beta+/EC;N-14;1
O-15;122.24;s;beta+/EC;N-15;1
O-16;stable;;stable;;
O-17;stable;;stable;;
O-18;stable;;stable;;
O-19;26.464;s;beta-;F-19;1
Os-180;21.5;m;beta+/EC;Re-180;1
Os-181;105;m;beta+/EC;Re-181;1
Os-182;22.1;h;beta+/EC;Re-182m;1
Os-183;13;h;beta+/EC;Re-183;1
Os-183m;9.9;h;beta+/EC;Re-183;0.85
Os-183m;9.9;h;IT;Os-183;0.15
Os-184;stable;;stable;;
Os-185;93.6;d;beta+/EC;Re-185;1
Os-186;2e+15;y;alpha;W-182;1
Os-187;stable;;stable;;
Os-188;stable;;stable;;
Os-189;stable;;stable;;
Os-189m;5.8;h;IT;Os-189;1
Os-190;stable;;stable;;
Os-190m;9.9;m;IT;Os-190;1
Os-191;15.4;d;beta-;Ir-191;1
Os-191m;13.1;h;IT;Os-191;1
Os-192;stable;;stable;;
Os-193;30.11;h;beta-;Ir-193;0.99652
Os-193;30.11;h;beta-;Ir-193m;0.0034757
Os-194;6;y;beta-;Ir-194;1
Os-196;34.9;m;beta-;Ir-196;1
P-30;2.498;m;beta+/EC;Si-30;1
P-31;stable;;stable;;
P-32;14.263;d;beta-;S-32;1
P-33;25.34;d;beta-;S-33;1
Pa-227;38.3;m;alpha;Ac-223;0.85
Pa-227;38.3;m;beta+/EC;Th-227;0.15
Pa-228;22;h;beta+/EC;Th-228;0.98
Pa-228;22;h;alpha;Ac-224;0.02
Pa-229;1.5;d;beta+/EC;Th-229;0.9952
Pa-229;1.5;d;alpha;Ac-225;0.0048
Pa-230;17.4;d;beta+/EC;Th-230;0.916
Pa-230;17.4;d;beta-;U-230;0.084
Pa-230;17.4;d;alpha;Ac-226;3.2e-05
Pa-231;32760;y;alpha;Ac-227;1
Pa-232;1.31;d;beta-;U-232;1
Pa-232;1.31;d;beta+/EC;Th-232;3e-05
Pa-233;26.967;d;beta-;U-233;1
Pa-234;6.7;h;beta-;U-234;1
Pa-234m;1.17;m;beta-;U-234;0.9984
Pa-234m;1.17;m;IT;Pa-234;0.0016
Pa-235;24.5;m;beta-;U-235m;0.9999
Pa-235;24.5;m;beta-;U-235;0.00010109
Pa-236;9.1;m;beta-;U-236;1
Pa-237;8.7;m;beta-;U-237;1
Pb-194;12;m;beta+/EC;Tl-194;1
Pb-194;12;m;alpha;Hg-190;7.3e-08
Pb-195m;15;m;beta+/EC;Tl-195;1
Pb-196;37;m;beta+/EC;Tl-196;1
Pb-197;8;m;beta+/EC;Tl-197;1
Pb-197m;43;m;beta+/EC;Tl-197;0.81
Pb-197m;43;m;IT;Pb-197;0.19
Pb-198;2.4;h;beta+/EC;Tl-198;1
Pb-199;90;m;beta+/EC;Tl-199;1
Pb-200;21.5;h;beta+/EC;Tl-200;1
Pb-201;9.33;h;beta+/EC;Tl-201;1
Pb-201m;61;s;IT;Pb-201;1
Pb-202;52500;y;beta+/EC;Tl-202;0.99
Pb-202;52500;y;alpha;Hg-198;0.01
Pb-202m;3.53;h;IT;Pb-202;0.905
Pb-202m;3.53;h;beta+/EC;Tl-202;0.095
Pb-203;51.873;h;beta+/EC;Tl-203;1
Pb-204;stable;;stable;;
Pb-204m;67.2;m;IT;Pb-204;1
Pb-205;15300000;y;beta+/EC;Tl-205;1
Pb-206;stable;;stable;;
Pb-207;stable;;stable;;
Pb-208;stable;;stable;;
Pb-209;3.253;h;beta-;Bi-209;1
Pb-210;22.2;y;beta-;Bi-210;1
Pb-210;22.2;y;alpha;Hg-206;1.9e-08
Pb-211;36.1;m;beta-;Bi-211;1
Pb-212;10.64;h;beta-;Bi-212;1
Pb-214;26.8;m;beta-;Bi-214;1
Pd-100;3.63;d;beta+/EC;Rh-100;1
Pd-101;8.47;h;beta+/EC;Rh-101m;0.9973
Pd-101;8.47;h;beta+/EC;Rh-101;0.0027
Pd-102;stable;;stable;;
Pd-103;16.991;d;beta+/EC;Rh-103m;0.99875
Pd-103;16.991;d;beta+/EC;Rh-103;0.0012512
Pd-104;stable;;stable;;
Pd-105;stable;;stable;;
Pd-106;stable;;stable;;
Pd-107;6500000;y;beta-;Ag-107;1
Pd-108;stable;;stable;;
Pd-109;13.7012;h;beta-;Ag-109;1
Pd-109m;4.69;m;IT;Pd-109;1
Pd-110;stable;;stable;;
Pd-111;23.4;m;beta-;Ag-111m;0.99756
Pd-111;23.4;m;beta-;Ag-111;0.0024368
Pd-112;21.03;h;beta-;Ag-112;1
Pd-114;2.42;m;beta-;Ag-114;1
Pd-96;122;s;beta+/EC;Rh-96m;1
Pd-97;3.1;m;beta+/EC;Rh-97;0.98838
Pd-97;3.1;m;beta+/EC;Rh-97m;0.011622
Pd-98;17.7;m;beta+/EC;Rh-98;1
Pd-99;21.4;m;beta+/EC;Rh-99m;0.96647
Pd-99;21.4;m;beta+/EC;Rh-99;0.033529
Pm-136;107;s;beta+/EC;Nd-136;1
Pm-137m;2.4;m;beta+/EC;Nd-137;1
Pm-139;4.15;m;beta+/EC;Nd-139;1
Pm-140;9.2;s;beta+/EC;Nd-140;1
Pm-140m;5.95;m;beta+/EC;Nd-140;1
Pm-141;20.9;m;beta+/EC;Nd-141;0.99833
Pm-141;20.9;m;beta+/EC;Nd-141m;0.0016651
Pm-142;40.5;s;beta+/EC;Nd-142;1
Pm-143;265;d;beta+/EC;Nd-143;1
Pm-144;363;d;beta+/EC;Nd-144;1
Pm-145;17.7;y;beta+/EC;Nd-145;1
Pm-145;17.7;y;alpha;Pr-141;2.8e-09
Pm-146;5.53;y;beta+/EC;Nd-146;0.66
Pm-146;5.53;y;beta-;Sm-146;0.34
Pm-147;2.6234;y;beta-;Sm-147;1
Pm-148;5.368;d;beta-;Sm-148;1
Pm-148m;41.29;d;beta-;Sm-148;0.958
Pm-148m;41.29;d;IT;Pm-148;0.042
Pm-149;53.08;h;beta-;Sm-149;1
Pm-150;2.68;h;beta-;Sm-150;1
Pm-151;28.4;h;beta-;Sm-151;1
Pm-152;4.12;m;beta-;Sm-152;1
Pm-152m;7.52;m;beta-;Sm-152;1
Pm-153;5.25;m;beta-;Sm-153;1
Pm-154;1.73;m;beta-;Sm-154;1
Pm-154m;2.68;m;beta-;Sm-154;1
Po-203;36.7;m;beta+/EC;Bi-203;0.9989
Po-203;36.7;m;alpha;Pb-199;0.0011
Po-204;3.53;h;beta+/EC;Bi-204;0.9934
Po-204;3.53;h;alpha;Pb-200;0.0066
Po-205;1.66;h;beta+/EC;Bi-205;0.999
Po-205;1.66;h;alpha;Pb-201;0.0004
Po-205;1.66;h;unlisted;;0.0006
Po-206;8.8;d;beta+/EC;Bi-206;0.9455
Po-206;8.8;d;alpha;Pb-202;0.0545
Po-207;5.8;h;beta+/EC;Bi-207;0.99979
Po-207;5.8;h;alpha;Pb-203;0.00021
Po-208;2.898;y;alpha;Pb-204;0.99998
Po-208;2.898;y;beta+/EC;Bi-208;2.23e-05
Po-209;102;y;alpha;Pb-205;0.9952
Po-209;102;y;beta+/EC;Bi-209;0.0048
Po-210;138.376;d;alpha;Pb-206;1
Po-211;0.516;s;alpha;Pb-207;1
Po-212;2.99e-07;s;alpha;Pb-208;1
Po-212m;45.1;s;alpha;Pb-208;0.9993
Po-212m;45.1;s;unlisted;;0.0007
Po-213;4.2e-06;s;alpha;Pb-209;1
Po-214;0.0001643;s;alpha;Pb-210;1
Po-215;0.001781;s;alpha;Pb-211;1
Po-216;0.145;s;alpha;Pb-212;1
Po-218;3.1;m;alpha;Pb-214;0.9998
Po-218;3.1;m;beta-;At-218;0.0002
Pr-134;11;m;beta+/EC;Ce-134;1
Pr-134m;17;m;beta+/EC;Ce-134;1
Pr-135;24;m;beta+/EC;Ce-135;1
Pr-136;13.1;m;beta+/EC;Ce-136;1
Pr-137;1.28;h;beta+/EC;Ce-137;1
Pr-138;1.45;m;beta+/EC;Ce-138;1
Pr-138m;2.12;h;beta+/EC;Ce-138;1
Pr-139;4.41;h;beta+/EC;Ce-139;1
Pr-140;3.39;m;beta+/EC;Ce-140;1
Pr-141;stable;;stable;;
Pr-142;19.12;h;beta-;Nd-142;0.99984
Pr-142;19.12;h;beta+/EC;Ce-142;0.000164
Pr-142m;14.6;m;IT;Pr-142;1
Pr-143;13.57;d;beta-;Nd-143;1
Pr-144;17.28;m;beta-;Nd-144;1
Pr-144m;7.2;m;IT;Pr-144;0.9993
Pr-144m;7.2;m;beta-;Nd-144;0.0007
Pr-145;5.984;h;beta-;Nd-145;1
Pr-146;24.15;m;beta-;Nd-146;1
Pr-147;13.4;m;beta-;Nd-147;1
Pr-148;2.29;m;beta-;Nd-148;1
Pr-148m;2.01;m;beta-;Nd-148;1
Pt-184;17.3;m;beta+/EC;Ir-184;1
Pt-184;17.3;m;alpha;Os-180;1.7e-05
Pt-186;2.08;h;beta+/EC;Ir-186m;0.81942
Pt-186;2.08;h;beta+/EC;Ir-186;0.18058
Pt-186;2.08;h;alpha;Os-182;1e-06
Pt-187;2.35;h;beta+/EC;Ir-187;1
Pt-188;10.2;d;beta+/EC;Ir-188;1
Pt-188;10.2;d;alpha;Os-184;2.9e-07
Pt-189;10.87;h;beta+/EC;Ir-189;1
Pt-190;6.5e+11;y;alpha;Os-186;1
Pt-191;2.802;d;beta+/EC;Ir-191;1
Pt-192;stable;;stable;;
Pt-193;50;y;beta+/EC;Ir-193;1
Pt-193m;4.33;d;IT;Pt-193;1
Pt-194;stable;;stable;;
Pt-195;stable;;stable;;
Pt-195m;4.02;d;IT;Pt-195;1
Pt-196;stable;;stable;;
Pt-197;19.8915;h;beta-;Au-197;1
Pt-197m;95.41;m;IT;Pt-197;0.967
Pt-197m;95.41;m;beta-;Au-197;0.033
Pt-198;stable;;stable;;
Pt-199;30.8;m;beta-;Au-199;1
Pt-200;12.5;h;beta-;Au-200;1
Pt-202;44;h;beta-;Au-202;1
Pu-232;33.7;m;beta+/EC;Np-232;0.77
Pu-232;33.7;m;alpha;U-228;0.23
Pu-234;8.8;h;beta+/EC;Np-234;0.94
Pu-234;8.8;h;alpha;U-230;0.06
Pu-235;25.3;m;beta+/EC;Np-235;0.99997
Pu-235;25.3;m;alpha;U-231;2.7e-05
Pu-236;2.858;y;alpha;U-232;1
Pu-236;2.858;y;SF;;1.37e-09
Pu-237;45.2;d;beta+/EC;Np-237;1
Pu-237;45.2;d;alpha;U-233;4.2e-05
Pu-238;87.7;y;alpha;U-234;1
Pu-238;87.7;y;SF;;1.85e-09
Pu-239;24110;y;alpha;U-235m;0.9994
Pu-239;24110;y;alpha;U-235;0.0006
Pu-240;6564;y;alpha;U-236;1
Pu-240;6564;y;SF;;5.75e-08
Pu-241;14.35;y;beta-;Am-241;0.99998
Pu-241;14.35;y;alpha;U-237;2.45e-05
Pu-242;375000;y;alpha;U-238;1
Pu-242;375000;y;SF;;5.54e-06
Pu-243;4.956;h;beta-;Am-243;1
Pu-244;80000000;y;alpha;U-240;0.99879
Pu-244;80000000;y;SF;;0.00121
Pu-245;10.5;h;beta-;Am-245;1
Pu-246;10.84;d;beta-;Am-246m;1
Ra-219;10;ms;alpha;Rn-215;1
Ra-220;0.0179;s;alpha;Rn-216;1
Ra-221;28;s;alpha;Rn-217;1
Ra-222;38;s;alpha;Rn-218;1
Ra-223;11.43;d;alpha;Rn-219;1
Ra-224;3.66;d;alpha;Rn-220;1
Ra-225;14.9;d;beta-;Ac-225;1
Ra-226;1600;y;alpha;Rn-222;1
Ra-227;42.2;m;beta-;Ac-227;1
Ra-228;5.75;y;beta-;Ac-228;1
Ra-230;93;m;beta-;Ac-230;1
Rb-77;3.77;m;beta+/EC;Kr-77;1
Rb-78;17.66;m;beta+/EC;Kr-78;1
Rb-78m;5.74;m;beta+/EC;Kr-78;0.9
Rb-78m;5.74;m;IT;Rb-78;0.1
Rb-79;22.9;m;beta+/EC;Kr-79;1
Rb-80;33.4;s;beta+/EC;Kr-80;1
Rb-81;4.576;h;beta+/EC;Kr-81m;0.95691
Rb-81;4.576;h;beta+/EC;Kr-81;0.043091
Rb-81m;30.5;m;IT;Rb-81;0.976
Rb-81m;30.5;m;beta+/EC;Kr-81;0.023786
Rb-81m;30.5;m;beta+/EC;Kr-81m;0.00021355
Rb-82;1.273;m;beta+/EC;Kr-82;1
Rb-82m;6.472;h;beta+/EC;Kr-82;1
Rb-83;86.2;d;beta+/EC;Kr-83m;0.74292
Rb-83;86.2;d;beta+/EC;Kr-83;0.25708
Rb-84;32.77;d;beta+/EC;Kr-84;0.962
Rb-84;32.77;d;beta-;Sr-84;0.038
Rb-84m;20.26;m;IT;Rb-84;1
Rb-85;stable;;stable;;
Rb-86;18.642;d;beta-;Sr-86;0.99995
Rb-86;18.642;d;beta+/EC;Kr-86;5.2e-05
Rb-86m;1.017;m;IT;Rb-86;1
Rb-87;4.923e+10;y;beta-;Sr-87;1
Rb-88;17.78;m;beta-;Sr-88;1
Rb-89;15.15;m;beta-;Sr-89;1
Rb-90;158;s;beta-;Sr-90;1
Rb-90m;258;s;beta-;Sr-90;0.974
Rb-90m;258;s;IT;Rb-90;0.026
Re-178;13.2;m;beta+/EC;W-178;1
Re-179;19.5;m;beta+/EC;W-179;0.76079
Re-179;19.5;m;beta+/EC;W-179m;0.23921
Re-180;2.44;m;beta+/EC;W-180;1
Re-181;19.9;h;beta+/EC;W-181;1
Re-182;64;h;beta+/EC;W-182;1
Re-182m;12.7;h;beta+/EC;W-182;1
Re-183;70;d;beta+/EC;W-183;1
Re-184;38;d;beta+/EC;W-184;1
Re-184m;169;d;IT;Re-184;0.754
Re-184m;169;d;beta+/EC;W-184;0.246
Re-185;stable;;stable;;
Re-186;3.7183;d;beta-;Os-186;0.9253
Re-186;3.7183;d;beta+/EC;W-186;0.0747
Re-186m;200000;y;IT;Re-186;1
Re-187;4.12e+10;y;beta-;Os-187;1
Re-188;17.004;h;beta-;Os-188;1
Re-188m;18.59;m;IT;Re-188;1
Re-189;24.3;h;beta-;Os-189;0.87789
Re-189;24.3;h;beta-;Os-189m;0.12211
Re-190;3.1;m;beta-;Os-190;1
Re-190m;3.2;h;beta-;Os-190;0.544
Re-190m;3.2;h;IT;Re-190;0.456
Rh-100;20.8;h;beta+/EC;Ru-100;1
Rh-100m;4.6;m;IT;Rh-100;0.983
Rh-100m;4.6;m;beta+/EC;Ru-100;0.017
Rh-101;3.3;y;beta+/EC;Ru-101;1
Rh-101m;4.34;d;beta+/EC;Ru-101;0.936
Rh-101m;4.34;d;IT;Rh-101;0.064
Rh-102;207;d;beta+/EC;Ru-102;0.78
Rh-102;207;d;beta-;Pd-102;0.22
Rh-102m;3.742;y;beta+/EC;Ru-102;0.99767
Rh-102m;3.742;y;IT;Rh-102;0.00233
Rh-103;stable;;stable;;
Rh-103m;56.114;m;IT;Rh-103;1
Rh-104;42.3;s;beta-;Pd-104;0.9955
Rh-104;42.3;s;beta+/EC;Ru-104;0.0045
Rh-104m;4.34;m;IT;Rh-104;0.9987
Rh-104m;4.34;m;beta-;Pd-104;0.0013
Rh-105;35.36;h;beta-;Pd-105;1
Rh-106;29.8;s;beta-;Pd-106;1
Rh-106m;131;m;beta-;Pd-106;1
Rh-107;21.7;m;beta-;Pd-107;1
Rh-108;16.8;s;beta-;Pd-108;1
Rh-109;80;s;beta-;Pd-109;1
Rh-94;70.6;s;beta+/EC;Ru-94;1
Rh-95;5.02;m;beta+/EC;Ru-95;1
Rh-95m;1.96;m;IT;Rh-95;0.88
Rh-95m;1.96;m;beta+/EC;Ru-95;0.12
Rh-96;9.9;m;beta+/EC;Ru-96;1
Rh-96m;1.51;m;IT;Rh-96;0.6
Rh-96m;1.51;m;beta+/EC;Ru-96;0.4
Rh-97;30.7;m;beta+/EC;Ru-97;1
Rh-97m;46.2;m;beta+/EC;Ru-97;0.944
Rh-97m;46.2;m;IT;Rh-97;0.056
Rh-98;8.7;m;beta+/EC;Ru-98;1
Rh-99;16.1;d;beta+/EC;Ru-99;1
Rh-99m;4.7;h;beta+/EC;Ru-99;1
Rn-207;9.25;m;beta+/EC;At-207;0.79
Rn-207;9.25;m;alpha;Po-203;0.21
Rn-209;28.5;m;beta+/EC;At-209;0.83
Rn-209;28.5;m;alpha;Po-205;0.17
Rn-210;2.4;h;alpha;Po-206;0.96
Rn-210;2.4;h;beta+/EC;At-210;0.04
Rn-211;14.6;h;beta+/EC;At-211;0.726
Rn-211;14.6;h;alpha;Po-207;0.274
Rn-212;23.9;m;alpha;Po-208;1
Rn-215;2.3;μs;alpha;Po-211;1
Rn-216;4.5e-05;s;alpha;Po-212;1
Rn-217;0.00054;s;alpha;Po-213;1
Rn-218;0.035;s;alpha;Po-214;1
Rn-219;3.96;s;alpha;Po-215;1
Rn-220;55.6;s;alpha;Po-216;1
Rn-222;3.8235;d;alpha;Po-218;1
Rn-223;24.3;m;beta-;Fr-223;1
Ru-100;stable;;stable;;
Ru-101;stable;;stable;;
Ru-102;stable;;stable;;
Ru-103;39.26;d;beta-;Rh-103m;0.98755
Ru-103;39.26;d;beta-;Rh-103;0.012453
Ru-104;stable;;stable;;
Ru-105;4.44;h;beta-;Rh-105;1
Ru-106;373.59;d;beta-;Rh-106;1
Ru-107;3.75;m;beta-;Rh-107;1
Ru-108;4.55;m;beta-;Rh-108;1
Ru-92;3.65;m;beta+/EC;Tc-92;1
Ru-94;51.8;m;beta+/EC;Tc-94m;1
Ru-95;1.643;h;beta+/EC;Tc-95;0.97387
Ru-95;1.643;h;beta+/EC;Tc-95m;0.026131
Ru-96;stable;;stable;;
Ru-97;2.9;d;beta+/EC;Tc-97;0.99958
Ru-97;2.9;d;beta+/EC;Tc-97m;0.00042179
Ru-98;stable;;stable;;
Ru-99;stable;;stable;;
S-32;stable;;stable;;
S-33;stable;;stable;;
S-34;stable;;stable;;
S-35;87.51;d;beta-;Cl-35;1
S-36;stable;;stable;;
S-37;5.05;m;beta-;Cl-37;1
S-38;170.3;m;beta-;Cl-38;1
Sb-111;75;s;beta+/EC;Sn-111;1
Sb-113;6.67;m;beta+/EC;Sn-113;0.77569
Sb-113;6.67;m;beta+/EC;Sn-113m;0.22431
Sb-114;3.49;m;beta+/EC;Sn-114;1
Sb-115;32.1;m;beta+/EC;Sn-115;1
Sb-116;15.8;m;beta+/EC;Sn-116;1
Sb-116m;60.3;m;beta+/EC;Sn-116;1
Sb-117;2.8;h;beta+/EC;Sn-117;1
Sb-118;3.6;m;beta+/EC;Sn-118;1
Sb-118m;5;h;beta+/EC;Sn-118;1
Sb-119;38.19;h;beta+/EC;Sn-119;1
Sb-120;15.89;m;beta+/EC;Sn-120;1
Sb-120m;5.76;d;beta+/EC;Sn-120;1
Sb-121;stable;;stable;;
Sb-122;2.7238;d;beta-;Te-122;0.9759
Sb-122;2.7238;d;beta+/EC;Sn-122;0.0241
Sb-122m;4.191;m;IT;Sb-122;1
Sb-123;stable;;stable;;
Sb-124;60.2;d;beta-;Te-124;1
Sb-124m;93;s;IT;Sb-124;0.75
Sb-124m;93;s;beta-;Te-124;0.25
Sb-124n;20.2;m;IT;Sb-124m;1
Sb-125;2.75856;y;beta-;Te-125;0.76864
Sb-125;2.75856;y;beta-;Te-125m;0.23136
Sb-126;12.35;d;beta-;Te-126;1
Sb-126m;19.15;m;beta-;Te-126;0.86
Sb-126m;19.15;m;IT;Sb-126;0.14
Sb-127;3.85;d;beta-;Te-127;0.8232
Sb-127;3.85;d;beta-;Te-127m;0.1768
Sb-128;9.01;h;beta-;Te-128;1
Sb-128m;10.4;m;beta-;Te-128;0.964
Sb-128m;10.4;m;IT;Sb-128;0.036
Sb-129;4.4;h;beta-;Te-129;0.77381
Sb-129;4.4;h;beta-;Te-129m;0.22619
Sb-130;39.5;m;beta-;Te-130;1
Sb-130m;6.3;m;beta-;Te-130;1
Sb-131;23.03;m;beta-;Te-131;0.91793
Sb-131;23.03;m;beta-;Te-131m;0.082067
Sb-133;2.5;m;beta-;Te-133;0.82662
Sb-133;2.5;m;beta-;Te-133m;0.17338
Sc-42m;62;s;beta+/EC;Ca-42;1
Sc-43;3.891;h;beta+/EC;Ca-43;1
Sc-44;3.97;h;beta+/EC;Ca-44;1
Sc-44m;58.61;h;IT;Sc-44;0.988
Sc-44m;58.61;h;beta+/EC;Ca-44;0.012
Sc-45;stable;;stable;;
Sc-46;83.79;d;beta-;Ti-46;1
Sc-47;3.3492;d;beta-;Ti-47;1
Sc-48;43.67;h;beta-;Ti-48;1
Sc-49;57.2;m;beta-;Ti-49;1
Sc-50;102.5;s;beta-;Ti-50;1
Se-70;41.1;m;beta+/EC;As-70;1
Se-71;4.74;m;beta+/EC;As-71;1
Se-72;8.4;d;beta+/EC;As-72;1
Se-73;7.15;h;beta+/EC;As-73;1
Se-73m;39.8;m;IT;Se-73;0.726
Se-73m;39.8;m;beta+/EC;As-73;0.274
Se-74;stable;;stable;;
Se-75;119.779;d;beta+/EC;As-75;1
Se-76;stable;;stable;;
Se-77;stable;;stable;;
Se-77m;17.36;s;IT;Se-77;1
Se-78;stable;;stable;;
Se-79;295000;y;beta-;Br-79;1
Se-79m;3.92;m;IT;Se-79;0.99944
Se-79m;3.92;m;beta-;Br-79;0.00056
Se-80;stable;;stable;;
Se-81;18.45;m;beta-;Br-81;1
Se-81m;57.28;m;IT;Se-81;0.99948
Se-81m;57.28;m;beta-;Br-81;0.00052
Se-83;22.3;m;beta-;Br-83;1
Se-83m;70.1;s;beta-;Br-83;1
Se-84;3.1;m;beta-;Br-84;1
Si-28;stable;;stable;;
Si-29;stable;;stable;;
Si-30;stable;;stable;;
Si-31;157.3;m;beta-;P-31;1
Si-32;132;y;beta-;P-32;1
Sm-139;2.57;m;beta+/EC;Pm-139;1
Sm-140;14.82;m;beta+/EC;Pm-140;1
Sm-141;10.2;m;beta+/EC;Pm-141;1
Sm-141m;22.6;m;beta+/EC;Pm-141;0.9969
Sm-141m;22.6;m;IT;Sm-141;0.0031
Sm-142;72.49;m;beta+/EC;Pm-142;1
Sm-143;8.75;m;beta+/EC;Pm-143;1
Sm-143m;66;s;IT;Sm-143;0.9976
Sm-143m;66;s;beta+/EC;Pm-143;0.0024
